category,display_name,method,dataset,higher_better,n,srcc,plcc_raw,krcc,rmse_raw,nrmse_raw,plcc_linear,rmse_linear,nrmse_linear,linear_slope,linear_intercept,elapsed_sec,timing_scope,total_elapsed_wall_sec,total_elapsed_sec
Deep NR-IQA,TOPIQ-NR,topiq_nr,sota,True,7200,0.1876704538799311,0.1822098050529157,0.1265201875570531,0.2442847718482788,0.2442847718482788,0.1822098050529158,0.2063793816765613,0.2063793816765613,0.2904314311818823,0.3827521447325969,567.8388388918245,,,832.1691315998323
Deep NR-IQA,TOPIQ-NR,topiq_nr,uied,True,1000,0.3060020336370332,0.3015871227119464,0.2059459822106572,0.2461154212816814,0.2461154212816814,0.3015871227119464,0.2083831157327995,0.2083831157327995,0.5625787993874338,0.2879225109810863,103.73959500412454,,,832.1691315998323
Deep NR-IQA,TOPIQ-NR,topiq_nr,mean,True,11500,0.2389116694929006,0.238466155088439,0.1604660018147679,0.2444273697997151,0.2444273697997151,0.2384661550884391,0.2179744570627469,0.2179744570627469,0.4907355534707426,0.29524947846627,203.184654575074,,,832.1691315998323
Deep NR-IQA,TReS,tres,uid2021,True,900,0.2897514889833812,0.263946034163308,0.1942874093265354,63.26124508642884,63.26124508642884,0.2639460341633081,0.2302287620368439,0.2302287620368439,0.0038630779450102,0.2573831076730856,485.6636556976009,,,1462.5122102999594
Deep NR-IQA,TReS,tres,saud2,True,1800,0.1282277093020747,0.1343509404866758,0.0855135644317568,58.33091280468589,58.33091280468589,0.1343509404866759,0.2323278465298167,0.2323278465298167,0.0024632773539179,0.3448849450865708,972.6684469941538,,,1462.5122102999594
Deep NR-IQA,TReS,tres,mean,True,2700,0.208989599142728,0.1991484873249919,0.1399004868791461,60.79607894555737,60.79607894555737,0.199148487324992,0.2312783042833303,0.2312783042833303,0.0031631776494641,0.3011340263798282,729.1660513458773,,,1462.5122102999594
Underwater metric,UCIQE,UCIQE,uid2021,True,900,0.5034867163822312,0.5432930106733583,0.3560691641498526,57.60826506085951,57.60826506085951,0.5432930106733582,0.2003934432753211,0.2003934432753211,0.0095200776156703,-0.0424125363470567,24.107645595911848,,,590.9186961001251
Underwater metric,UCIQE,UCIQE,saud2,True,2400,-0.0514643541335991,-0.0012910188631463,-0.0246097577028134,60.56787283976513,60.56787283976513,0.0012910188631462,0.2342649958793196,0.2342649958793196,-2.1508393104576304e-05,0.4872487716279435,82.553880003048,,,590.9186961001251
Underwater metric,UCIQE,UCIQE,sota,True,7200,0.01606312290555,-0.0076920265773955,0.020185452983322,60.32795438483004,60.32795438483004,0.0076920265773955,0.2098868503865575,0.2098868503865575,-0.0001459378574597,0.5107368890865294,402.7437967993316,,,590.9186961001251
Underwater metric,UCIQE,UCIQE,uied,True,1000,0.1993544548387865,0.211397271040137,0.1352036704686906,65.68628261481207,65.68628261481207,0.211397271040137,0.2136201520406058,0.2136201520406058,0.0038909163625371,0.2498775515733122,72.79905989905816,,,590.9186961001251
Underwater metric,UCIQE,UCIQE,mean,True,11500,0.1668599849982421,0.1864268090682383,0.1217121324747629,61.04759372506669,61.04759372506669,0.1909183317885092,0.214541360395451,0.214541360395451,0.0033108869319107,0.3013626689851821,145.55109557433738,,,590.9186961001251
Underwater metric,UIQM,UIQM,uid2021,True,900,0.3505039203959481,0.2183613383601076,0.2365818388740686,102.20966603823864,102.20966603823864,0.2183613383601077,0.2329332868051494,0.2329332868051494,0.0008638027406886,0.4237599859845466,55.28018129826519,,,1663.5031674001366
Underwater metric,UIQM,UIQM,saud2,True,2400,-0.0690827551012951,-0.2093837680726724,-0.0481924874554135,92.48378256617728,92.48378256617728,0.2093837680726724,0.2290723618047323,0.2290723618047323,-0.0009313065150675,0.5571906237118542,177.27533530048083,,,1663.5031674001366
Underwater metric,UIQM,UIQM,sota,True,7200,0.1163265997604219,0.0769669001532491,0.0808771345698621,64.9946833350554,64.9946833350554,0.0769669001532491,0.2092704432895381,0.2092704432895381,0.0005872488870092,0.4671292126031745,1104.0601991999429,,,1663.5031674001366
Underwater metric,UIQM,UIQM,uied,True,1000,-0.0708978755669379,-0.0962423711719075,-0.0469059248607226,68.64449912855206,68.64449912855206,0.0962423711719075,0.2175449803175091,0.2175449803175091,-0.0006648731467817,0.5440667968134619,317.48532279604115,,,1663.5031674001366
Underwater metric,UIQM,UIQM,mean,True,11500,0.0817124723720342,-0.0025744751828058,0.0555901402819486,82.08315776700584,82.08315776700584,0.1502385944394842,0.2222052680542322,0.2222052680542322,-3.628200853788587e-05,0.4980366547782593,413.5252596486825,,,1663.5031674001366
